size_mean,size_std,size_min,size_25%,size_50%,size_75%,size_max,minute,ID,Unnamed: 0_mean,Unnamed: 0_std,Unnamed: 0_min,Unnamed: 0_25%,Unnamed: 0_50%,Unnamed: 0_75%,Unnamed: 0_max
5056.938765174093,15517.33781607107,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user14,,,,,,,
5019.580028240375,15492.604303847715,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user14,,,,,,,
5004.027518767713,15488.883867769297,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user14,,,,,,,
5078.5579567260675,15601.348055563752,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user14,,,,,,,
2935.7414495742782,11545.736330427979,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user2,,,,,,,
2942.901322931076,11589.990830432214,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user2,,,,,,,
2937.939502689525,11560.166733329434,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user2,,,,,,,
2931.731195238021,11520.16988074464,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user2,,,,,,,
2945.5194826264324,11560.738001202617,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user2,,,,,,,
2945.569313315792,11570.432790389017,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user2,,,,,,,
2931.6596835674377,11521.655320109314,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user2,,,,,,,
2914.746880619196,11459.392914347662,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user2,,,,,,,
